OBJECTID,COM,NOMBRE,DIRECCION,REGION,PROVINCIA,SUPERFICIE,PROPIEDAD_,DETALLE_PR,ROL,USO_AREA_V,DETALLE_US,AGNO_APERT,COSTO_CONS,FUENTE_FIN,DETALLE_FU,ADMINISTRA,DETALLE_AD,COSTO_ANUA,SUMINISTRO,DETALLE_RI,CONEXION_R,BAÑOS_ASI,BAÑOS_TRA,NIVEL_CONS,TIPO_ACCES,COSTO_INGR,JUEGOS_INF,CANCHA_FUT,MULTICANCH,MAQUINAS_E,ZONA_PICNI,OTROS_EQUI,ESTACIONAM,BAÑO_DISC,RUTA_ACCES,JUEGOS_ACC,OBSERVACIO,Programa,Shape_Length,Shape_Area
363,Lonquimay,PARQUE CERRO LAS BANDERAS,CHAQUILVIN S/N,9,92,12939.79448934,MUNICIPAL,NO HAY REGISTRO,NO HAY REGISTRO,Sí,NO HAY REGISTRO,1970,0,MUNICIPAL,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,0,MEDIDOR AGUA POTABLE,NO HAY REGISTRO,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No,NO HAY REGISTRO,Sí,No,No,No,NO HAY REGISTRO,Parques Urbanos,503.315741351502,12939.7944893429
364,Temuco,PLAZA CAMPOS DEPORTIVO,PASAJE PISAGUA/CALLE EDUARDO BARRIOS,9,91,6940.75826193,B.N.U.P,NO HAY REGISTRO,NO HAY REGISTRO,Sí,NO HAY REGISTRO,1971,0,NO CUENTA CON FINANCIAMIENTO / NO HAY REGISTROS,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,11660474,MEDIDOR AGUA POTABLE,NO HAY REGISTRO,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,Sí,Sí,No,NO HAY REGISTRO,No,No,Sí,No,NO HAY REGISTRO,Parques Urbanos,363.999383909468,6940.75826192714
365,Temuco,PLAZA DREVES,CALLE OHIGGINS CON SAN ERNESTO,9,91,11765.96029911,B.N.U.P,NO HAY REGISTRO,NO HAY REGISTRO,Sí,NO HAY REGISTRO,1900,0,NO CUENTA CON FINANCIAMIENTO / NO HAY REGISTROS,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,19766813,MEDIDOR AGUA POTABLE,NO HAY REGISTRO,Sí,NO HAY,NO HAY,REGULAR CONSOLIDACION,GRATUITO,0,Sí,Sí,No,Sí,No,NO HAY REGISTRO,No,No,Sí,No,NO HAY REGISTRO,Parques Urbanos,435.14936269319,11765.9602991128
366,Temuco,PLAZOLETA LOMAS DE MIRASUR,CALLE EL ESTERO/LOS URBANISTAS,9,91,8465.43385198,B.N.U.P,NO HAY REGISTRO,NO HAY REGISTRO,Sí,NO HAY REGISTRO,2004,0,NO CUENTA CON FINANCIAMIENTO / NO HAY REGISTROS,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,14221929,MEDIDOR AGUA POTABLE,NO HAY REGISTRO,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,NO HAY REGISTRO,No,No,Sí,No,NO HAY REGISTRO,Parques Urbanos,491.826390379801,8465.43385198154
367,Temuco,PARQUE LOS MUSICOS,LOS CREADORES,9,91,46809.14047717,B.N.U.P,NO HAY REGISTRO,NO HAY REGISTRO,Sí,NO HAY REGISTRO,2004,0,NO CUENTA CON FINANCIAMIENTO / NO HAY REGISTROS,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,78639356,MEDIDOR AGUA POTABLE,NO HAY REGISTRO,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,Sí,Sí,Sí,No,NO HAY REGISTRO,No,No,Sí,Sí,NO HAY REGISTRO,Parques Urbanos,4454.62037308286,46809.1404771748
368,Temuco,PLAZA EL CARMEN,CALLE LOS ESCRITORES,9,91,5331.92053617,B.N.U.P,NO HAY REGISTRO,NO HAY REGISTRO,Sí,NO HAY REGISTRO,2001,0,NO CUENTA CON FINANCIAMIENTO / NO HAY REGISTROS,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,8957627,MEDIDOR AGUA POTABLE,NO HAY REGISTRO,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No,NO HAY REGISTRO,No,No,Sí,No,NO HAY REGISTRO,Parques Urbanos,298.722447126633,5331.92053616699
369,Padre Las Casas,PARQUE CORVALÁN,ENTRE CALLES CACIQUE COÑOEPAN Y BOMBERO ESCOBAR,9,91,13770.60736438,MUNICIPAL,SERVIU-BNUP-MUNICIPAL,2152-9,Sí,NO HAY REGISTRO,2012,0,MINVU,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,0,MEDIDOR AGUA POTABLE,NO HAY REGISTRO,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,Sí,Sí,No,NO HAY REGISTRO,Sí,No,Sí,No,NO HAY REGISTRO,Parques Urbanos,732.281514430459,13770.6073643754
370,Villarrica,PENÍNSULA DE LICANRAY,ENTRE PLAYA GRANDE Y PLAYA CHICA DE LICANRAY,9,91,181946.61273435,MUNICIPAL,NO HAY REGISTRO,NO HAY REGISTRO,No,NO HAY REGISTRO,0,0,NO CUENTA CON FINANCIAMIENTO / NO HAY REGISTROS,NO HAY REGISTRO,OTRO,En comodato a Comunidad Indígena,0, ,NO HAY REGISTRO,No,NO HAY,NO HAY,REGULAR CONSOLIDACION,PAGADO,0,No,No,No,No,No,NO HAY REGISTRO,No,No,No,No,NO HAY REGISTRO,Parques Urbanos,1719.9185554825,181946.612734349
371,Villarrica,PARQUE EMBARCADERO DE VILLARRICA,"GENERAL KÖRNER, ENTRE ARTURO PRAT Y GENERAL URRUTIA",9,91,22047.23264332,B.N.U.P,NO HAY REGISTRO,NO HAY REGISTRO,Sí,NO HAY REGISTRO,0,0,NO CUENTA CON FINANCIAMIENTO / NO HAY REGISTROS,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,0,CAMION ALJIBE,NO HAY REGISTRO,No,NO HAY,NO HAY,REGULAR CONSOLIDACION,GRATUITO,0,Sí,No,No,No,No,NO HAY REGISTRO,No,No,No,No,NO HAY REGISTRO,Parques Urbanos,1066.69100803948,22047.2326433172
372,Lautaro,PARQUE ISABEL RIQUELME,LEON GALLO S/N,9,91,504432.40307583,MUNICIPAL, ,"281-1,281-25",Sí,NO HAY REGISTRO,1914,0,MUNICIPAL,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,155000000,POZO,NO HAY REGISTRO,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,Sí,No,Sí,Sí,"MEDIA LUNA, PISCICULTURA, PISCINA, SALONES DE EVENTOS, QUIOSCOS, QUINCHOS, GALPONES, OFICINAS, CASAS, CIERRE PERIMETRAL, CAMARINES",Sí,Sí,Sí,Sí,NO HAY REGISTRO,Parques Urbanos,4004.66073167841,504432.403075827
373,Lautaro,PLAZA DE ARMAS,"S/N ENTRE CALLES BILBAO, OHIGGINS´, CARRERA Y MATTA",9,91,12913.1305565,B.N.U.P,PUBLICO,NO HAY REGISTRO,Sí,NO HAY REGISTRO,1900,0,GORE,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,0,POZO,NO HAY REGISTRO,No,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No,NO HAY REGISTRO,No,No,Sí,No,NO HAY REGISTRO,Parques Urbanos,438.320665481922,12913.1305565013
374,Lautaro,PLAZA  DOMINGO MONTEBRUNO,"S/N ENTRE CALLES; RODRIGUEZ, ESCALA , O´HIGGINS Y FRANJA DE  FERROCARRILES",9,91,10372.02217766,B.N.U.P,PUBLICO,NO HAY REGISTRO,Sí,NO HAY REGISTRO,1910,0,GORE,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,0,POZO,NO HAY REGISTRO,No,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,Sí,Sí,No,SEDE ADULTO MAYOR,Sí,No,Sí,No,NO HAY REGISTRO,Parques Urbanos,400.260496980675,10372.02217766
375,Lautaro,PLAZA JORGE TEILLIER,"S/N ENTRE CALLERS BILBAO ,BALMACEDA, CARRERA Y RODRIGUEZ",9,91,11832.82334207,B.N.U.P,PUBLICO,NO HAY REGISTRO,Sí,NO HAY REGISTRO,1910,0,MUNICIPAL,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,0,POZO,NO HAY REGISTRO,No,NO HAY,NO HAY,REGULAR CONSOLIDACION,GRATUITO,0,Sí,No,No,No,No,NO HAY REGISTRO,No,No,No,No,NO HAY REGISTRO,Parques Urbanos,422.143925930214,11832.8233420743
376,Los Sauces,PARQUE BERTA MELLA,CALLE LOS DOMINICOS SIN NUMERO,9,92,15677.19365684,SERVIU,NO HAY REGISTRO,NO HAY REGISTRO,No,NO HAY REGISTRO,2017,1028671921,MIXTO,MINVU Y  FNDR GORE,NO HAY REGISTRO,NO HAY REGISTRO,0,POZO,NO HAY REGISTRO,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,Sí,Sí,No,Sí,"ANFITEATRO, SKATE PARK, CANCHA DE VOLLEYBALL, RAYUELA, Y TENIS",Sí,Sí,No,Sí,NO HAY REGISTRO,Parques Urbanos,600.888193316952,15677.1936568391
377,Los Sauces,PARQUE HURTADO SOLIDARIO,LOS DOMINICOS 270,9,92,6197.80732866,MUNICIPAL,NO HAY REGISTRO,NO HAY REGISTRO,No,NO HAY REGISTRO,2006,100000000,MIXTO,SUBDERE Y FRIL,MUNICIPAL,NO HAY REGISTRO,0,POZO,NO HAY REGISTRO,No,NO HAY,NO HAY,REGULAR CONSOLIDACION,GRATUITO,0,Sí,No,Sí,Sí,No,NO HAY REGISTRO,No,No,No,No,NO HAY REGISTRO,Parques Urbanos,452.858707136853,6197.80732866487
378,Lautaro,PLAZA JUAN BAUTISTA SAAVEDRA,CALLE SAN MARTIN ENTRE PUGA Y CAUTIN,9,91,7702.27090182,B.N.U.P,NO HAY REGISTRO,NO HAY REGISTRO,Sí,NO HAY REGISTRO,0,0,MUNICIPAL,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,0,POZO,NO HAY REGISTRO,No,NO HAY,NO HAY,REGULAR CONSOLIDACION,GRATUITO,0,Sí,No,Sí,Sí,No,NO HAY REGISTRO,No,No,Sí,No,NO HAY REGISTRO,Parques Urbanos,375.728479674943,7702.27090182069
379,Los Sauces,PLAZA DE ARMAS DE LOS SAUCES,ERCILLA,9,92,12274.83949739,B.N.U.P,NO HAY REGISTRO,42-001,No,NO HAY PLAN REGULADOR,1845,150000000,GORE,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,0,MEDIDOR AGUA POTABLE,NO HAY REGISTRO,Sí,NO HAY,NO HAY,REGULAR CONSOLIDACION,GRATUITO,0,Sí,No,No,No,No,NO HAY REGISTRO,No,No,No,No,NO HAY REGISTRO,Parques Urbanos,432.410108036798,12274.8394973909
380,Curacautín,PLAZA INDEPENDENCIA,O'HIGGINS ESQUINA YUNGAY,9,92,12814.0779511,B.N.U.P,NO HAY REGISTRO,NO HAY REGISTRO,No,NO HAY REGISTRO,0,0,NO CUENTA CON FINANCIAMIENTO / NO HAY REGISTROS,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,0,MEDIDOR AGUA POTABLE,NO HAY REGISTRO,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No,NO HAY REGISTRO,Sí,No,Sí,No,NO HAY REGISTRO,Parques Urbanos,436.082172384012,12814.0779511045
381,Temuco,PARQUE CORCOLEN,LOS JARDINES 0138,9,91,14359.436317,OTRO,IPS,1825-2,No,NO HAY REGISTRO,2013,0,MUNICIPAL,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,24619000,MEDIDOR AGUA POTABLE,NO HAY REGISTRO,Sí,NO HAY,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,NO HAY REGISTRO,No,Sí,Sí,No,NO HAY REGISTRO,Parques Urbanos,526.619073464401,14359.4363169981
382,Temuco,PARQUE LANGDON II,CALLE RIO AMZONAS/ PJE RIO RIN,9,91,48425.77309326,SERVIU,OTRO,3204-6,Sí,NO HAY REGISTRO,1997,0,MIXTO,"municipal, serviu",MUNICIPAL,NO HAY REGISTRO,81355299,MEDIDOR AGUA POTABLE,NO HAY REGISTRO,Sí,NO HAY,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,No,Sí,Sí,No,NO HAY REGISTRO,No,No,Sí,No,NO HAY REGISTRO,Parques Urbanos,1287.50804604636,48425.7730932627
383,Temuco,PARQUE COSTANERA DEL CAUTIN,CALLE PUDETO AL FINAL,9,91,51697.66718215,MUNICIPAL,NO HAY REGISTRO,NO HAY REGISTRO,No,NO HAY REGISTRO,2012,0,MIXTO,"FNDR, Municipal",MUNICIPAL,NO HAY REGISTRO,30820000,POZO,NO HAY REGISTRO,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,Sí,Sí,Sí,No,NO HAY REGISTRO,No,No,Sí,Sí,NO HAY REGISTRO,Parques Urbanos,1807.79982689436,51697.6671821486
384,Temuco,PLAZA LABRANZA,AV. UNO NORTE,9,91,10402.85240657,B.N.U.P,NO HAY REGISTRO,NO HAY REGISTRO,Sí,NO HAY REGISTRO,0,0,NO CUENTA CON FINANCIAMIENTO / NO HAY REGISTROS,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,17476792,MEDIDOR AGUA POTABLE,NO HAY REGISTRO,Sí,NO HAY,NO HAY,REGULAR CONSOLIDACION,GRATUITO,0,Sí,No,No,Sí,No,NO HAY REGISTRO,No,No,Sí,No,NO HAY REGISTRO,Parques Urbanos,408.008577998068,10402.8524065746
385,Temuco,PARQUE AMANECER,CALLE FRANKLIN N° 2480,9,91,25919.54334021,FISCAL,NO HAY REGISTRO,NO HAY REGISTRO,No,NO HAY REGISTRO,2012,0,NO CUENTA CON FINANCIAMIENTO / NO HAY REGISTROS,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,23729000,POZO,NO HAY REGISTRO,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,Sí,No,Sí,No,NO HAY REGISTRO,Sí,No,Sí,No,NO HAY REGISTRO,Parques Urbanos,664.899561241555,25919.5433402102
386,Temuco,PLAZA LAS ENCINAS,CALLE GABRIELA MISTRAL/AV. LAS ENCINAS,9,91,8413.80380539,B.N.U.P,NO HAY REGISTRO,NO HAY REGISTRO,No,NO HAY REGISTRO,0,0,NO CUENTA CON FINANCIAMIENTO / NO HAY REGISTROS,NO HAY REGISTRO,NO HAY REGISTRO,NO HAY REGISTRO,14135190, ,NO HAY REGISTRO,No,NO HAY,NO HAY, ,GRATUITO,0,No,No,No,No,No,NO HAY REGISTRO,No,No,Sí,No,NO HAY REGISTRO,Parques Urbanos,583.023865503974,8413.80380538508
387,Temuco,PLAZA TOBALABA,AV. PABLO NERUDA/MAXIMO REYES,9,91,7329.85124583,B.N.U.P,NO HAY REGISTRO,NO HAY REGISTRO,Sí,NO HAY REGISTRO,1979,0,NO CUENTA CON FINANCIAMIENTO / NO HAY REGISTROS,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,12314150,MEDIDOR AGUA POTABLE,NO HAY REGISTRO,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,NO HAY REGISTRO,No,No,Sí,No,NO HAY REGISTRO,Parques Urbanos,404.811357537944,7329.85124582503
388,Temuco,PARQUE VENECIA,CALLE VENECIA/PASAJE SIN NOMBRE,9,91,11283.04318442,B.N.U.P,NO HAY REGISTRO,NO HAY REGISTRO,Sí,NO HAY REGISTRO,2014,240000000,MIXTO,"MINVU, MUNICIPAL, SERVIU",MUNICIPAL,NO HAY REGISTRO,18955513,MEDIDOR AGUA POTABLE,NO HAY REGISTRO,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,Sí,No,No,NO HAY REGISTRO,No,No,Sí,Sí,NO HAY REGISTRO,Parques Urbanos,430.856487348485,11283.0431844211
389,Temuco,PLAZOLETA SAN ANDRES,AV. GABRIELA MISTRAL/MONTE LOS OLIVOS,9,91,10128.5574099,B.N.U.P,NO HAY REGISTRO,NO HAY REGISTRO,Sí,NO HAY REGISTRO,2003,0,NO CUENTA CON FINANCIAMIENTO / NO HAY REGISTROS,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,17015977,MEDIDOR AGUA POTABLE,NO HAY REGISTRO,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,NO HAY REGISTRO,No,No,Sí,Sí,NO HAY REGISTRO,Parques Urbanos,472.862300274221,10128.557409903
390,Temuco,PLAZA DAGOBERTO GODOY,MONTT ESQUINA GENERAL CARRERA,9,91,11248.79268366,B.N.U.P,NO HAY REGISTRO,NO HAY REGISTRO,Sí,NO HAY REGISTRO,0,0,NO CUENTA CON FINANCIAMIENTO / NO HAY REGISTROS,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,18897972,MEDIDOR AGUA POTABLE,NO HAY REGISTRO,Sí,CONSTRUIDOS,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No,NO HAY REGISTRO,No,Sí,Sí,No,NO HAY REGISTRO,Parques Urbanos,424.317428293599,11248.7926836565
391,Temuco,PLAZA TEODORO SCHMIDT,CALLE RODRIGUEZ ESQUINA PRAT,9,91,11693.91122456,B.N.U.P,NO HAY REGISTRO,NO HAY REGISTRO,Sí,NO HAY REGISTRO,0,0,NO CUENTA CON FINANCIAMIENTO / NO HAY REGISTROS,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,19645771,MEDIDOR AGUA POTABLE,NO HAY REGISTRO,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No,NO HAY REGISTRO,No,No,Sí,No,NO HAY REGISTRO,Parques Urbanos,432.867115677893,11693.9112245555
392,Temuco,MUSEO FERROVIARIO,BARROS ARANA CON PASAJE DANIEL DE LA VEGA,9,91,36297.5860943,MUNICIPAL,NO HAY REGISTRO,"671-61, 671-88, 671-89",No,NO HAY REGISTRO,0,0,NO CUENTA CON FINANCIAMIENTO / NO HAY REGISTROS,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,60979945,MEDIDOR AGUA POTABLE,NO HAY REGISTRO,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,No,No,No,No,NO HAY REGISTRO,Sí,No,Sí,No,NO HAY REGISTRO,Parques Urbanos,1314.60621230684,36297.5860942995
393,Angol,PARQUE VERGARA,ENTRE AVENIDA BERNARDO O'HIGGINS S/N Y CALLE M DE AVENDANO S/N,9,92,55522.53616537,MIXTO,"MUNICIPAL, BIENES NACIONALES",501-3,No,"RESIDENCIAL,EQUIPAMIENTO",2004,0,MINVU,SIN REGISTRO,MUNICIPAL,NO HAY REGISTRO,34000000,MIXTO,"POZO, CAMIÓN ALJIBE",No,CONSTRUIDOS,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,Sí,Sí,Sí,SIN REGISTRO,Sí,No,Sí,No,SIN REGISTRO,Parques Urbanos,1269.58958446319,55522.5361653718
394,Gorbea,PLAZA DE ARMAS,MATTA 667,9,91,10926.10611948,B.N.U.P,NO HAY REGISTRO,NO HAY REGISTRO,Sí,NO HAY REGISTRO,2016,893835000,GORE,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,5672460,POZO,NO HAY REGISTRO,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,Sí,No,NO HAY REGISTRO,Sí,No,Sí,No,NO HAY REGISTRO,Parques Urbanos,420.047772782592,10926.1061194772
395,Pucón,PASEO COSTANERA LA POZA,ROBERTO GEISS ENTRE COLOMBIA Y ALDERETE,9,91,28130.32310848,B.N.U.P,NO HAY REGISTRO,NO HAY REGISTRO,Sí,NO HAY REGISTRO,0,0,NO CUENTA CON FINANCIAMIENTO / NO HAY REGISTROS,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,12000000,POZO,NO HAY REGISTRO,No,NO HAY,NO HAY, , ,0, , ,No,No,No,NO HAY REGISTRO,No,No,No,No,NO HAY REGISTRO,Parques Urbanos,1387.28185181343,28130.3231084793
396,Pucón,PARQUE LOS BOLDOS,RAMÓN QUEZADA ENTRE ANSORENA Y COLO COLO - RIBERA LAGO VILLARRICA,9,91,20440.39833709,SERVIU,NO HAY REGISTRO,NO HAY REGISTRO,Sí,NO HAY REGISTRO,0,0,NO CUENTA CON FINANCIAMIENTO / NO HAY REGISTROS,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,0,POZO,NO HAY REGISTRO,Sí,CONSTRUIDOS,NO HAY,REGULAR CONSOLIDACION,GRATUITO,0,No,No,No,No,No,NO HAY REGISTRO,No,Sí,No,No,NO HAY REGISTRO,Parques Urbanos,797.324699591195,20440.3983370929
397,Pucón,PLAZA BRASIL,BRASIL ENTRE CAUPOLICÁN Y LINCOYAN- URUGUAY,9,91,10223.11056341,B.N.U.P,NO HAY REGISTRO,NO HAY REGISTRO,Sí,NO HAY REGISTRO,0,0,NO CUENTA CON FINANCIAMIENTO / NO HAY REGISTROS,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,0,POZO,NO HAY REGISTRO,Sí,CONSTRUIDOS,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,NO HAY REGISTRO,No,Sí,No,No,NO HAY REGISTRO,Parques Urbanos,397.23493891484,10223.1105634133
398,Pucón,PLAZA DE ARMAS PUCÓN,CLEMENTE HOLZAPFEL ENTRE LINCOYÁN Y ANSORENA - GERÓNIMO DE ALDERETE,9,91,22127.63239894,B.N.U.P,NO HAY REGISTRO,NO HAY REGISTRO,Sí,NO HAY REGISTRO,0,0,GORE,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,0,POZO,NO HAY REGISTRO,Sí,CONSTRUIDOS,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,No,No,NO HAY REGISTRO,Sí,Sí,Sí,No,NO HAY REGISTRO,Parques Urbanos,635.357497166117,22127.6323989446
399,Saavedra,PLAZA DE ARMAS,"AVENIDA EJERCITO S/N, ENTRE CALLE CAUPOLICAN Y CALLE MAIPU",9,91,7666.84042449,B.N.U.P,NO HAY REGISTRO,NO HAY REGISTRO,Sí,SÍ,1964,0,MUNICIPAL,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,600000,CAMION ALJIBE,NO HAY REGISTRO,Sí,NO HAY,NO HAY,REGULAR CONSOLIDACION,GRATUITO,0,No,No,No,Sí,No,NO HAY REGISTRO,No,No,No,No,HAY UNA CASETA DE INFORMACION TURISTICA QUE CUENTA CON UN BAÑO PERO NO ESTA EN FUNCIONAMIENTO,Parques Urbanos,353.818773804299,7666.84042449357
400,Saavedra,PLAZA ARTURO PRAT,"AVENIDA EJERCITO S/N, ENTRE CALLE CONDELL Y CALLE JUAN JOSE LATORRE",9,91,10124.11306984,B.N.U.P,NO HAY REGISTRO,NO HAY REGISTRO,Sí,SÍ,0,0,MUNICIPAL,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,10088436,CAMION ALJIBE,NO HAY REGISTRO,Sí,NO HAY,NO HAY,REGULAR CONSOLIDACION,GRATUITO,0,Sí,No,No,Sí,No,NO HAY REGISTRO,No,No,No,No,NO HAY REGISTRO,Parques Urbanos,395.173053456626,10124.1130698442
401,Villarrica,PLAZA MUNICIPAL DE VILLARRICA,CALLE MATTA CON URRUTIA,9,91,12338.61804514,B.N.U.P,NO HAY REGISTRO,NO HAY REGISTRO,Sí,NO HAY REGISTRO,0,0,NO CUENTA CON FINANCIAMIENTO / NO HAY REGISTROS,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,0, ,NO HAY REGISTRO,No,NO HAY,NO HAY, , ,0, , ,No,No,No,NO HAY REGISTRO,No,No,No,No,NO HAY REGISTRO,Parques Urbanos,444.721986677974,12338.6180451429
402,Melipeuco,PLAZA DE ARMAS,"PEDRO AGUIRRE CERDA , ENTRE  BARROS ARANA Y  PEDRO LEON UGALDE",9,91,12849.17237145,B.N.U.P,NO HAY REGISTRO,NO HAY REGISTRO,Sí,NO HAY REGISTRO,1983,0,MIXTO,SUBDERE - MUNICIPIO,MUNICIPAL,NO HAY REGISTRO,0,MEDIDOR AGUA POTABLE,NO HAY REGISTRO,Sí,NO HAY,NO HAY,REGULAR CONSOLIDACION,GRATUITO,0,No,No,No,No,No,NO HAY REGISTRO,No,No,Sí,No,NO HAY REGISTRO,Parques Urbanos,453.06175060493,12849.172371452
403,Freire,PLAZA JOSE DONAT,CAMALEZ S/N°,9,91,5125.47895366,MUNICIPAL,NO HAY REGISTRO,NO HAY REGISTRO,Sí,NO HAY REGISTRO,0,0,MUNICIPAL,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,0,MEDIDOR AGUA POTABLE,NO HAY REGISTRO,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No,ODEAON,Sí,No,No,No,NO HAY REGISTRO,Parques Urbanos,305.692068811449,5125.47895365612
404,Melipeuco,PARQUE BALNEARIO MUNICIPAL,ENTRE ANIBAL PINCHEIRA,9,91,83831.47096349,MUNICIPAL,NO HAY REGISTRO,NO HAY REGISTRO,Sí,NO HAY REGISTRO,2001,0,MUNICIPAL,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,0,CANAL,NO HAY REGISTRO,Sí,NO HAY,NO HAY,REGULAR CONSOLIDACION,GRATUITO,0,No,No,No,No,No,NO HAY REGISTRO,No,No,No,No,NO HAY REGISTRO,Parques Urbanos,1808.81966840601,83831.4709634934
405,Traiguén,PLAZA DE ARMAS,BASILIO URRUTIA CON SAAVEDRA,9,92,11796.78965808,B.N.U.P,NO HAY REGISTRO,NO HAY REGISTRO,Sí,NO HAY REGISTRO,0,0,NO CUENTA CON FINANCIAMIENTO,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,0,MEDIDOR AGUA POTABLE,NO HAY REGISTRO,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No,NO HAY REGISTRO,Sí,No,Sí,No,NO HAY REGISTRO,Parques Urbanos,422.414630643539,11796.7896580773
406,Temuco,PLAZA CIUDADANA ISLA CAUTIN,CALLE PRAT CON AVENIDA COSTANERA,9,91,118089.51920646,B.N.U.P,NO HAY REGISTRO,NO HAY REGISTRO,No,NO HAY REGISTRO,2011,1422542000,MINVU,NO HAY REGISTRO,MUNICIPAL,NO HAY REGISTRO,0, ,NO HAY REGISTRO,No,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,No,No,NO HAY REGISTRO,Sí,No,No,No,NO HAY REGISTRO,Parques Urbanos,1900.00445559634,118089.519206461
